Episode 161: Seed=527849; Reward = 10
Episode 162: Seed=732741; Reward = 7
Episode 163: Seed=688079; Reward = 10
Episode 164: Seed=353603; Reward = 10
Episode 165: Seed=873570; Reward = 10
Episode 166: Seed=255419; Reward = 10
Episode 167: Seed=486011; Reward = 10
Episode 168: Seed=946712; Reward = 10
Episode 169: Seed=361218; Reward = 10
Episode 170: Seed=626094; Reward = 10
Episode 171: Seed=25525; Reward = 10
Episode 172: Seed=698227; Reward = 10
Episode 173: Seed=121575; Reward = -28
Episode 174: Seed=26089; Reward = 10
Episode 175: Seed=927113; Reward = 10
Episode 176: Seed=897551; Reward = 10
Episode 177: Seed=156677; Reward = 10
Episode 178: Seed=595355; Reward = 10
Episode 179: Seed=843668; Reward = 10
Episode 180: Seed=781532; Reward = 10
Episode 181: Seed=44483; Reward = 10
Episode 182: Seed=566926; Reward = 5
Episode 183: Seed=723881; Reward = -7
Episode 184: Seed=668599; Reward = 9
Episode 185: Seed=582480; Reward = 10
Episode 186: Seed=206198; Reward = 10
Episode 187: Seed=223463; Reward = 10
Episode 188: Seed=593597; Reward = 9
Episode 189: Seed=362220; Reward = 10
Episode 190: Seed=282078; Reward = 10
Episode 191: Seed=581396; Reward = 10
Episode 192: Seed=696868; Reward = 10
Episode 193: Seed=714700; Reward = 10
Episode 194: Seed=514366; Reward = -38
Episode 195: Seed=411344; Reward = 10
Episode 196: Seed=628881; Reward = 10
Episode 197: Seed=734085; Reward = 9
Episode 198: Seed=3428; Reward = 2
Episode 199: Seed=290407; Reward = 10
Episode 200: Seed=184224; Reward = 10
Episode 201: Seed=490406; Reward = 10
Episode 202: Seed=914800; Reward = 10
Episode 203: Seed=428551; Reward = 10
Episode 204: Seed=623172; Reward = 10
Episode 205: Seed=970466; Reward = -51
Episode 206: Seed=741519; Reward = 10
Episode 207: Seed=670729; Reward = 7
Episode 208: Seed=826681; Reward = 10
Episode 209: Seed=895393; Reward = 10
Episode 210: Seed=615629; Reward = 8
Episode 211: Seed=942566; Reward = 10
Episode 212: Seed=174965; Reward = 10
Episode 213: Seed=491394; Reward = 10
Episode 214: Seed=619337; Reward = 9
Episode 215: Seed=699586; Reward = -24
Episode 216: Seed=576274; Reward = 9
Episode 217: Seed=176998; Reward = 10
Episode 218: Seed=618446; Reward = 10
Episode 219: Seed=210274; Reward = 10
Episode 220: Seed=246504; Reward = 10
Episode 221: Seed=814714; Reward = 8
Episode 222: Seed=202073; Reward = 9
Episode 223: Seed=497976; Reward = 10
Episode 224: Seed=486563; Reward = 4
Episode 225: Seed=849647; Reward = 1
Episode 226: Seed=215155; Reward = -28
Episode 227: Seed=100982; Reward = 10
Episode 228: Seed=107487; Reward = 10
Episode 229: Seed=545572; Reward = -51
Episode 230: Seed=400203; Reward = 10
Episode 231: Seed=891915; Reward = 10
Episode 232: Seed=756055; Reward = 10
Episode 233: Seed=750924; Reward = 9
Episode 234: Seed=74040; Reward = 7
Episode 235: Seed=562756; Reward = 10
Episode 236: Seed=884050; Reward = 10
Episode 237: Seed=237290; Reward = 10
Episode 238: Seed=990060; Reward = 10
Episode 239: Seed=393227; Reward = 10
Episode 240: Seed=368572; Reward = -57
Episode 241: Seed=919326; Reward = 6
Episode 242: Seed=365738; Reward = 10
Episode 243: Seed=818269; Reward = 10
Episode 244: Seed=639113; Reward = 10
Episode 245: Seed=379888; Reward = 10
Episode 246: Seed=175859; Reward = 10
Episode 247: Seed=833480; Reward = 10
Episode 248: Seed=588119; Reward = 10
Episode 249: Seed=800851; Reward = 10
Episode 250: Seed=752425; Reward = -11
Episode 251: Seed=795989; Reward = 10
Episode 252: Seed=604067; Reward = 10
Episode 253: Seed=490508; Reward = 10
Episode 254: Seed=486502; Reward = 8
Episode 255: Seed=453358; Reward = 10
Episode 256: Seed=835745; Reward = 10
Episode 257: Seed=945927; Reward = 10
Episode 258: Seed=167874; Reward = 8
Episode 259: Seed=812754; Reward = 10
Episode 260: Seed=946390; Reward = 3
Episode 261: Seed=644268; Reward = 8
Episode 262: Seed=168150; Reward = 10
Episode 263: Seed=574338; Reward = 10
Episode 264: Seed=527642; Reward = 0
Episode 265: Seed=364618; Reward = 10
Episode 266: Seed=16424; Reward = 7
Episode 267: Seed=249931; Reward = 0
Episode 268: Seed=575629; Reward = -8
Episode 269: Seed=531755; Reward = 5
Episode 270: Seed=145635; Reward = 10
Episode 271: Seed=381014; Reward = -35
Episode 272: Seed=20472; Reward = 9
Episode 273: Seed=388410; Reward = 10
Episode 274: Seed=994232; Reward = 10
Episode 275: Seed=536730; Reward = 10
Episode 276: Seed=305547; Reward = 8
Episode 277: Seed=265581; Reward = 10
Episode 278: Seed=951711; Reward = 8
Episode 279: Seed=636191; Reward = -215
Episode 280: Seed=367385; Reward = -151
Episode 281: Seed=462167; Reward = -376
Episode 282: Seed=338354; Reward = -3
Episode 283: Seed=367499; Reward = -99
Episode 284: Seed=569033; Reward = -107
Episode 285: Seed=466230; Reward = 10
Episode 286: Seed=648218; Reward = 3
Episode 287: Seed=663179; Reward = 10
Episode 288: Seed=124113; Reward = -31
Episode 289: Seed=92341; Reward = -110
Episode 290: Seed=773607; Reward = -192
Episode 291: Seed=412142; Reward = 10
Episode 292: Seed=449917; Reward = -32
Episode 293: Seed=695457; Reward = -62
Episode 294: Seed=858653; Reward = -122
Episode 295: Seed=707414; Reward = 10
Episode 296: Seed=858354; Reward = 5
Episode 297: Seed=421349; Reward = 10
Episode 298: Seed=247444; Reward = -6
Episode 299: Seed=718440; Reward = 10
Episode 300: Seed=98712; Reward = 10
Episode 301: Seed=167795; Reward = 10
Episode 302: Seed=581102; Reward = 0
