Episode 124: Seed=23588; Reward = 406; Floor=11
Episode 125: Seed=369353; Reward = 309; Floor=8
Episode 126: Seed=952176; Reward = -29; Floor=1
Episode 127: Seed=160930; Reward = 240; Floor=7
Episode 128: Seed=810196; Reward = 176; Floor=5
Episode 129: Seed=690545; Reward = 205; Floor=6
Episode 130: Seed=228612; Reward = 188; Floor=5
Episode 131: Seed=514834; Reward = 129; Floor=4
Episode 132: Seed=210056; Reward = 75; Floor=3
Episode 133: Seed=445646; Reward = 30; Floor=2
Episode 134: Seed=7466; Reward = 151; Floor=5
Episode 135: Seed=885854; Reward = 161; Floor=5
Episode 136: Seed=803286; Reward = 295; Floor=8
Episode 137: Seed=879172; Reward = 179; Floor=5
Episode 138: Seed=502788; Reward = 232; Floor=6
Episode 139: Seed=78944; Reward = 169; Floor=5
Episode 140: Seed=458433; Reward = 134; Floor=4
Episode 141: Seed=299688; Reward = 164; Floor=4
Episode 142: Seed=482642; Reward = 205; Floor=7
Episode 143: Seed=166028; Reward = 126; Floor=4
Episode 144: Seed=28693; Reward = 43; Floor=2
Episode 145: Seed=511531; Reward = 13; Floor=2
Episode 146: Seed=620062; Reward = 294; Floor=7
Episode 147: Seed=351697; Reward = 327; Floor=9
Episode 148: Seed=190347; Reward = 245; Floor=7
Episode 149: Seed=608181; Reward = 76; Floor=4
Episode 150: Seed=705005; Reward = 396; Floor=11
Episode 151: Seed=34385; Reward = 182; Floor=6
Episode 152: Seed=978819; Reward = 78; Floor=3
Episode 153: Seed=966734; Reward = 122; Floor=3
Episode 154: Seed=412235; Reward = 244; Floor=9
Episode 155: Seed=789774; Reward = 48; Floor=3
Episode 156: Seed=365142; Reward = -23; Floor=1
Episode 157: Seed=419654; Reward = 201; Floor=6
Episode 158: Seed=319238; Reward = 128; Floor=5
Episode 159: Seed=813914; Reward = 39; Floor=3
Episode 160: Seed=730944; Reward = 75; Floor=4
Episode 161: Seed=344557; Reward = 85; Floor=3
Episode 162: Seed=30912; Reward = 151; Floor=4
Episode 163: Seed=441787; Reward = 232; Floor=6
Episode 164: Seed=36855; Reward = 250; Floor=7
Episode 165: Seed=416429; Reward = 86; Floor=4
Episode 166: Seed=840688; Reward = 127; Floor=4
Episode 167: Seed=933732; Reward = 203; Floor=6
Episode 168: Seed=360128; Reward = 95; Floor=4
Episode 169: Seed=377010; Reward = 29; Floor=2
Episode 170: Seed=983897; Reward = 349; Floor=10
Episode 171: Seed=679719; Reward = 173; Floor=5
Episode 172: Seed=586726; Reward = 187; Floor=5
Episode 173: Seed=821809; Reward = 229; Floor=6
Episode 174: Seed=500596; Reward = 167; Floor=5
Episode 175: Seed=268027; Reward = 128; Floor=5
Episode 176: Seed=364458; Reward = 184; Floor=6
Episode 177: Seed=362112; Reward = 87; Floor=3
Episode 178: Seed=575818; Reward = 131; Floor=4
Episode 179: Seed=475168; Reward = 50; Floor=2
Episode 180: Seed=279836; Reward = 164; Floor=5
Episode 181: Seed=202870; Reward = 124; Floor=4
Episode 182: Seed=318485; Reward = 29; Floor=2
Episode 183: Seed=144534; Reward = 255; Floor=7
Episode 184: Seed=555287; Reward = 26; Floor=2
Episode 185: Seed=167426; Reward = 97; Floor=3
Episode 186: Seed=106374; Reward = 26; Floor=2
Episode 187: Seed=539268; Reward = 97; Floor=3
Episode 188: Seed=510138; Reward = 191; Floor=6
Episode 189: Seed=838608; Reward = 178; Floor=5
Episode 190: Seed=810064; Reward = 262; Floor=7
Episode 191: Seed=318729; Reward = 192; Floor=7
Episode 192: Seed=838390; Reward = 453; Floor=13
Episode 193: Seed=414680; Reward = 264; Floor=7
Episode 194: Seed=664756; Reward = 295; Floor=8
Episode 195: Seed=872575; Reward = 100; Floor=3
Episode 196: Seed=798665; Reward = 371; Floor=10
Episode 197: Seed=90072; Reward = 55; Floor=2
Episode 198: Seed=739336; Reward = 238; Floor=7
Episode 199: Seed=150804; Reward = 259; Floor=7
Episode 200: Seed=635272; Reward = 278; Floor=7
Episode 201: Seed=548890; Reward = 226; Floor=6
Episode 202: Seed=354404; Reward = 112; Floor=5
Episode 203: Seed=128904; Reward = 276; Floor=7
Episode 204: Seed=732671; Reward = -13; Floor=1
Episode 205: Seed=778776; Reward = 306; Floor=9
Episode 206: Seed=572953; Reward = 74; Floor=3
Episode 207: Seed=927435; Reward = 155; Floor=4
Episode 208: Seed=982182; Reward = 261; Floor=7
Episode 209: Seed=810423; Reward = 95; Floor=3
Episode 210: Seed=478143; Reward = 204; Floor=5
Episode 211: Seed=292414; Reward = 344; Floor=9
Episode 212: Seed=420219; Reward = 110; Floor=5
Episode 213: Seed=791800; Reward = 151; Floor=5
Episode 214: Seed=46883; Reward = 203; Floor=5
Episode 215: Seed=704195; Reward = 294; Floor=7
Episode 216: Seed=470802; Reward = 302; Floor=8
Episode 217: Seed=504258; Reward = 341; Floor=8
Episode 218: Seed=647908; Reward = 55; Floor=2
Episode 219: Seed=672687; Reward = 107; Floor=3
Episode 220: Seed=518758; Reward = 146; Floor=4
Episode 221: Seed=702250; Reward = 160; Floor=5
Episode 222: Seed=745355; Reward = 49; Floor=3
Episode 223: Seed=725190; Reward = 99; Floor=3
Episode 224: Seed=310835; Reward = 58; Floor=2
Episode 225: Seed=695767; Reward = 12; Floor=2
Episode 226: Seed=582067; Reward = 185; Floor=4
Episode 227: Seed=390852; Reward = 227; Floor=7
Episode 228: Seed=530389; Reward = 258; Floor=6
Episode 229: Seed=711240; Reward = 118; Floor=4
Episode 230: Seed=318183; Reward = 128; Floor=3
Episode 231: Seed=923062; Reward = 76; Floor=2
Episode 232: Seed=856605; Reward = 244; Floor=6
Episode 233: Seed=652409; Reward = 273; Floor=6
Episode 234: Seed=665174; Reward = 67; Floor=3
Episode 235: Seed=946737; Reward = 101; Floor=3
Episode 236: Seed=181020; Reward = 242; Floor=6
Episode 237: Seed=579258; Reward = 283; Floor=8
Episode 238: Seed=903961; Reward = 229; Floor=6
Episode 239: Seed=829540; Reward = 243; Floor=7
Episode 240: Seed=162365; Reward = 22; Floor=1
Episode 241: Seed=203642; Reward = 147; Floor=4
Episode 242: Seed=995108; Reward = 279; Floor=7
Episode 243: Seed=576714; Reward = 101; Floor=3
Episode 244: Seed=130279; Reward = 119; Floor=3
Episode 245: Seed=925496; Reward = -15; Floor=1
Episode 246: Seed=985335; Reward = 364; Floor=11
Episode 247: Seed=328606; Reward = 205; Floor=5
Episode 248: Seed=260816; Reward = 218; Floor=5
Episode 249: Seed=513205; Reward = 228; Floor=6
Episode 250: Seed=861140; Reward = 296; Floor=8
Episode 251: Seed=350710; Reward = 143; Floor=4
Episode 252: Seed=220190; Reward = 121; Floor=3
Episode 253: Seed=268203; Reward = 260; Floor=6
Episode 254: Seed=533242; Reward = 258; Floor=6
Episode 255: Seed=339499; Reward = -17; Floor=1
Episode 256: Seed=991286; Reward = 109; Floor=3
Episode 257: Seed=139361; Reward = 19; Floor=1
Episode 258: Seed=859622; Reward = 122; Floor=4
Episode 259: Seed=443142; Reward = 153; Floor=4
Episode 260: Seed=196178; Reward = 84; Floor=4
Episode 261: Seed=44635; Reward = 24; Floor=1
Episode 262: Seed=955623; Reward = 174; Floor=4
Episode 263: Seed=333020; Reward = 278; Floor=7
Episode 264: Seed=819192; Reward = 76; Floor=3
Episode 265: Seed=490795; Reward = 260; Floor=6
Episode 266: Seed=979378; Reward = 323; Floor=9
Episode 267: Seed=958393; Reward = 237; Floor=7
Episode 268: Seed=167354; Reward = 78; Floor=2
Episode 269: Seed=49801; Reward = 22; Floor=1
Episode 270: Seed=269061; Reward = -23; Floor=1
Episode 271: Seed=760232; Reward = 212; Floor=7
Episode 272: Seed=824581; Reward = 36; Floor=2
Episode 273: Seed=713079; Reward = 185; Floor=5
Episode 274: Seed=880219; Reward = 143; Floor=4
Episode 275: Seed=749730; Reward = 180; Floor=5
Episode 276: Seed=337046; Reward = 204; Floor=5
Episode 277: Seed=7538; Reward = 206; Floor=6
Episode 278: Seed=259259; Reward = 261; Floor=7
Episode 279: Seed=849040; Reward = 224; Floor=5
Episode 280: Seed=868002; Reward = 99; Floor=3
Episode 281: Seed=917384; Reward = 183; Floor=5
Episode 282: Seed=281587; Reward = 203; Floor=5
Episode 283: Seed=665633; Reward = 300; Floor=8
Episode 284: Seed=731290; Reward = 112; Floor=3
Episode 285: Seed=852463; Reward = 138; Floor=4
Episode 286: Seed=731064; Reward = 294; Floor=9
Episode 287: Seed=941479; Reward = 201; Floor=6
Episode 288: Seed=544719; Reward = 246; Floor=8
Episode 289: Seed=701288; Reward = 102; Floor=4
Episode 290: Seed=799648; Reward = 164; Floor=5
Episode 291: Seed=997964; Reward = 132; Floor=4
Episode 292: Seed=781629; Reward = 204; Floor=6
Episode 293: Seed=259162; Reward = 171; Floor=5
Episode 294: Seed=622928; Reward = 313; Floor=9
Episode 295: Seed=737465; Reward = -25; Floor=1
Episode 296: Seed=13344; Reward = 187; Floor=5
Episode 297: Seed=229564; Reward = 393; Floor=10
Episode 298: Seed=433865; Reward = 259; Floor=6
Episode 299: Seed=32527; Reward = 140; Floor=4
Episode 300: Seed=288391; Reward = 129; Floor=3
Episode 301: Seed=7430; Reward = 413; Floor=12
Episode 302: Seed=611077; Reward = 202; Floor=5
Episode 303: Seed=621224; Reward = 107; Floor=3
Episode 304: Seed=371843; Reward = 202; Floor=5
Episode 305: Seed=343614; Reward = 50; Floor=2
Episode 306: Seed=13491; Reward = -17; Floor=1
Episode 307: Seed=213503; Reward = 177; Floor=5
Episode 308: Seed=396214; Reward = 102; Floor=3
Episode 309: Seed=62440; Reward = 76; Floor=3
Episode 310: Seed=689721; Reward = 142; Floor=5
Episode 311: Seed=67095; Reward = 372; Floor=11
Episode 312: Seed=23806; Reward = 330; Floor=11
Episode 313: Seed=407887; Reward = 196; Floor=5
Episode 314: Seed=953314; Reward = 111; Floor=3
Episode 315: Seed=488509; Reward = 136; Floor=4
Episode 316: Seed=779637; Reward = 417; Floor=12
Episode 317: Seed=613333; Reward = 247; Floor=8
Episode 318: Seed=796301; Reward = 194; Floor=5
Episode 319: Seed=516573; Reward = 175; Floor=5
Episode 320: Seed=315323; Reward = 196; Floor=5
Episode 321: Seed=616257; Reward = 236; Floor=6
Episode 322: Seed=366436; Reward = 194; Floor=5
Episode 323: Seed=585504; Reward = 148; Floor=4
Episode 324: Seed=378288; Reward = 325; Floor=8
Episode 325: Seed=957317; Reward = 307; Floor=7
Episode 326: Seed=678439; Reward = 153; Floor=4
Episode 327: Seed=356428; Reward = 333; Floor=8
Episode 328: Seed=9763; Reward = 194; Floor=6
Episode 329: Seed=288121; Reward = 364; Floor=11
Episode 330: Seed=311798; Reward = 137; Floor=4
Episode 331: Seed=786766; Reward = 182; Floor=5
Episode 332: Seed=786404; Reward = 140; Floor=4
Episode 333: Seed=461367; Reward = 150; Floor=5
Episode 334: Seed=695273; Reward = 444; Floor=13
Episode 335: Seed=386140; Reward = 145; Floor=4
Episode 336: Seed=819710; Reward = 58; Floor=2
Episode 337: Seed=26872; Reward = 199; Floor=7
Episode 338: Seed=874253; Reward = 82; Floor=3
Episode 339: Seed=291603; Reward = 123; Floor=4
Episode 340: Seed=985252; Reward = 263; Floor=8
Episode 341: Seed=628768; Reward = 279; Floor=8
Episode 342: Seed=380084; Reward = 237; Floor=6
Episode 343: Seed=592821; Reward = 161; Floor=5
Episode 344: Seed=845132; Reward = 368; Floor=9
Episode 345: Seed=458233; Reward = 304; Floor=8
Episode 346: Seed=949668; Reward = 335; Floor=9
Episode 347: Seed=397033; Reward = 162; Floor=4
Episode 348: Seed=670755; Reward = 136; Floor=4
Episode 349: Seed=274219; Reward = 201; Floor=6
Episode 350: Seed=281317; Reward = 245; Floor=6
Episode 351: Seed=826934; Reward = 263; Floor=7
Episode 352: Seed=902800; Reward = 78; Floor=2
Episode 353: Seed=126916; Reward = 54; Floor=2
Episode 354: Seed=907933; Reward = 227; Floor=6
Episode 355: Seed=629931; Reward = 168; Floor=4
Episode 356: Seed=314112; Reward = 165; Floor=5
Episode 357: Seed=962513; Reward = 169; Floor=6
Episode 358: Seed=983977; Reward = -9; Floor=1
Episode 359: Seed=894117; Reward = 233; Floor=6
Episode 360: Seed=897417; Reward = 181; Floor=6
Episode 361: Seed=501782; Reward = 20; Floor=2
Episode 362: Seed=120502; Reward = 233; Floor=5
Episode 363: Seed=931730; Reward = 98; Floor=3
Episode 364: Seed=42191; Reward = 278; Floor=8
Episode 365: Seed=132946; Reward = 50; Floor=2
Episode 366: Seed=695873; Reward = 30; Floor=2
Episode 367: Seed=144121; Reward = 27; Floor=2
Episode 368: Seed=785524; Reward = 358; Floor=10
Episode 369: Seed=483390; Reward = 228; Floor=6
Episode 370: Seed=66882; Reward = 283; Floor=7
Episode 371: Seed=239813; Reward = 391; Floor=12
Episode 372: Seed=473566; Reward = 263; Floor=7
Episode 373: Seed=246077; Reward = 191; Floor=5
Episode 374: Seed=148904; Reward = 84; Floor=3
Episode 375: Seed=610805; Reward = 329; Floor=8
Episode 376: Seed=653959; Reward = 127; Floor=4
