Episode 1: Seed=482940; Reward = -55
Episode 2: Seed=916275; Reward = -18
Episode 3: Seed=395642; Reward = -7
Episode 4: Seed=125399; Reward = -3
Episode 5: Seed=995300; Reward = -34
Episode 6: Seed=896363; Reward = -1
Episode 7: Seed=582273; Reward = 0
Episode 8: Seed=571002; Reward = -38
Episode 9: Seed=373534; Reward = 0
Episode 10: Seed=452850; Reward = -4
Episode 11: Seed=917287; Reward = -18
Episode 12: Seed=136384; Reward = -9
Episode 13: Seed=129691; Reward = -6
Episode 14: Seed=479407; Reward = -15
Episode 15: Seed=509581; Reward = -80
Episode 16: Seed=730363; Reward = 0
Episode 17: Seed=781678; Reward = -21
Episode 18: Seed=42740; Reward = 0
Episode 19: Seed=395184; Reward = 0
Episode 20: Seed=920753; Reward = 0
Episode 21: Seed=296615; Reward = 0
Episode 22: Seed=998018; Reward = 0
Episode 23: Seed=605065; Reward = 0
Episode 24: Seed=726135; Reward = -1
Episode 25: Seed=661026; Reward = 0
Episode 26: Seed=514850; Reward = 0
Episode 27: Seed=811056; Reward = -5
Episode 28: Seed=918279; Reward = 0
Episode 29: Seed=316922; Reward = 0
Episode 30: Seed=536277; Reward = 0
Episode 31: Seed=779112; Reward = 0
Episode 32: Seed=212048; Reward = 0
Episode 33: Seed=661363; Reward = 0
Episode 34: Seed=750117; Reward = 0
Episode 35: Seed=61186; Reward = 0
Episode 36: Seed=664671; Reward = -1
Episode 37: Seed=599033; Reward = 0
Episode 38: Seed=283425; Reward = 0
Episode 39: Seed=503312; Reward = 0
Episode 40: Seed=716153; Reward = -3
Episode 41: Seed=54356; Reward = 0
Episode 42: Seed=652867; Reward = 0
Episode 43: Seed=715048; Reward = 0
Episode 44: Seed=374362; Reward = 0
Episode 45: Seed=440836; Reward = -25
Episode 46: Seed=275244; Reward = 0
Episode 47: Seed=947416; Reward = 0
Episode 48: Seed=96817; Reward = 0
Episode 49: Seed=993325; Reward = 10
Episode 50: Seed=122095; Reward = 10
Episode 51: Seed=43197; Reward = -1762
Episode 52: Seed=413606; Reward = -256
Episode 53: Seed=368197; Reward = -43
Episode 54: Seed=443511; Reward = -4
Episode 55: Seed=986344; Reward = -12
Episode 56: Seed=30996; Reward = -130
Episode 57: Seed=824650; Reward = -558
Episode 58: Seed=867403; Reward = -115
Episode 59: Seed=682897; Reward = -2
Episode 60: Seed=138942; Reward = -79
Episode 61: Seed=569808; Reward = -4
Episode 62: Seed=203400; Reward = -26
Episode 63: Seed=142946; Reward = -7
Episode 64: Seed=369634; Reward = 4
Episode 65: Seed=479019; Reward = 0
Episode 66: Seed=511144; Reward = -180
Episode 67: Seed=179784; Reward = -8
Episode 68: Seed=416828; Reward = -6
Episode 69: Seed=57899; Reward = -11
Episode 70: Seed=592113; Reward = -8
Episode 71: Seed=373347; Reward = -34
Episode 72: Seed=182309; Reward = -50
Episode 73: Seed=581556; Reward = 0
Episode 74: Seed=695329; Reward = -147
Episode 75: Seed=774171; Reward = -48
Episode 76: Seed=589033; Reward = -11
Episode 77: Seed=671904; Reward = -2
Episode 78: Seed=48451; Reward = -3
Episode 79: Seed=16564; Reward = -5
Episode 80: Seed=874067; Reward = 0
Episode 81: Seed=422014; Reward = -17
Episode 82: Seed=335265; Reward = -1
Episode 83: Seed=429730; Reward = 0
Episode 84: Seed=468306; Reward = -9
Episode 85: Seed=405218; Reward = 0
Episode 86: Seed=516436; Reward = -13
Episode 87: Seed=294545; Reward = -147
Episode 88: Seed=893862; Reward = -3
Episode 89: Seed=595812; Reward = 0
Episode 90: Seed=268939; Reward = 0
Episode 91: Seed=13145; Reward = 0
Episode 92: Seed=247261; Reward = -6
Episode 93: Seed=599293; Reward = -3
Episode 94: Seed=542121; Reward = -6
Episode 95: Seed=622212; Reward = 0
Episode 96: Seed=413823; Reward = -24
Episode 97: Seed=573399; Reward = -1
Episode 98: Seed=626619; Reward = 0
Episode 99: Seed=875404; Reward = 0
Episode 100: Seed=330619; Reward = 0
Episode 101: Seed=578953; Reward = 0
Episode 102: Seed=878923; Reward = 0
Episode 103: Seed=133427; Reward = -4
Episode 104: Seed=781749; Reward = 0
Episode 105: Seed=880977; Reward = -10
Episode 106: Seed=511714; Reward = 0
Episode 107: Seed=454193; Reward = 0
Episode 108: Seed=864171; Reward = -2
Episode 109: Seed=107638; Reward = 0
Episode 110: Seed=849809; Reward = 0
Episode 111: Seed=676204; Reward = 0
Episode 112: Seed=865982; Reward = -1
Episode 113: Seed=112411; Reward = -132
Episode 114: Seed=420958; Reward = -31
Episode 115: Seed=331562; Reward = -6
Episode 116: Seed=908639; Reward = 0
Episode 117: Seed=142987; Reward = -1
Episode 118: Seed=13921; Reward = -1
Episode 119: Seed=839038; Reward = -17
Episode 120: Seed=774674; Reward = -13
Episode 121: Seed=890776; Reward = -4
Episode 122: Seed=984125; Reward = -6
Episode 123: Seed=68486; Reward = 0
Episode 124: Seed=269348; Reward = -2
Episode 125: Seed=120690; Reward = 0
Episode 126: Seed=986151; Reward = 0
Episode 127: Seed=49689; Reward = 0
Episode 128: Seed=548659; Reward = -10
Episode 129: Seed=436277; Reward = -4
Episode 130: Seed=185552; Reward = 0
Episode 131: Seed=472484; Reward = 0
Episode 132: Seed=433718; Reward = -3
Episode 133: Seed=940982; Reward = -1
Episode 134: Seed=116378; Reward = 0
Episode 135: Seed=673112; Reward = 0
Episode 136: Seed=431476; Reward = 0
Episode 137: Seed=670381; Reward = 0
Episode 138: Seed=826058; Reward = 0
Episode 139: Seed=423481; Reward = 0
Episode 140: Seed=177551; Reward = 0
Episode 141: Seed=211646; Reward = 0
Episode 142: Seed=776814; Reward = 0
Episode 143: Seed=936305; Reward = 0
