Episode 124: Seed=83449; Reward = 28; Floor=1
Episode 125: Seed=260342; Reward = -22; Floor=1
Episode 126: Seed=221065; Reward = 261; Floor=8
Episode 127: Seed=384770; Reward = 11; Floor=2
Episode 128: Seed=969213; Reward = -35; Floor=1
Episode 129: Seed=589603; Reward = 125; Floor=4
Episode 130: Seed=424366; Reward = -13; Floor=1
Episode 131: Seed=357430; Reward = 61; Floor=2
Episode 132: Seed=599735; Reward = 98; Floor=3
Episode 133: Seed=522857; Reward = 41; Floor=3
Episode 134: Seed=299502; Reward = -41; Floor=1
Episode 135: Seed=663054; Reward = -40; Floor=1
Episode 136: Seed=400469; Reward = 214; Floor=5
Episode 137: Seed=489805; Reward = 100; Floor=5
Episode 138: Seed=676372; Reward = 109; Floor=4
Episode 139: Seed=663520; Reward = 400; Floor=10
Episode 140: Seed=900560; Reward = 25; Floor=3
Episode 141: Seed=98169; Reward = -35; Floor=1
Episode 142: Seed=339243; Reward = 50; Floor=2
Episode 143: Seed=53334; Reward = 63; Floor=2
Episode 144: Seed=421324; Reward = 347; Floor=9
Episode 145: Seed=786628; Reward = 145; Floor=5
Episode 146: Seed=418909; Reward = 261; Floor=7
Episode 147: Seed=521253; Reward = 89; Floor=3
Episode 148: Seed=78064; Reward = 87; Floor=4
Episode 149: Seed=612979; Reward = 275; Floor=7
Episode 150: Seed=633094; Reward = 371; Floor=9
Episode 151: Seed=902303; Reward = 132; Floor=4
Episode 152: Seed=402705; Reward = 149; Floor=4
Episode 153: Seed=235987; Reward = 188; Floor=6
Episode 154: Seed=669380; Reward = 78; Floor=3
Episode 155: Seed=343608; Reward = 149; Floor=4
Episode 156: Seed=133334; Reward = -15; Floor=1
Episode 157: Seed=955277; Reward = 22; Floor=1
Episode 158: Seed=706845; Reward = 387; Floor=10
Episode 159: Seed=556563; Reward = 251; Floor=6
Episode 160: Seed=143110; Reward = 369; Floor=9
Episode 161: Seed=381618; Reward = 154; Floor=4
Episode 162: Seed=731841; Reward = 182; Floor=5
Episode 163: Seed=651069; Reward = 108; Floor=3
Episode 164: Seed=313848; Reward = 153; Floor=4
Episode 165: Seed=58016; Reward = 80; Floor=2
Episode 166: Seed=8464; Reward = 521; Floor=12
Episode 167: Seed=921224; Reward = 17; Floor=2
Episode 168: Seed=87438; Reward = 162; Floor=5
Episode 169: Seed=948376; Reward = 186; Floor=5
Episode 170: Seed=760918; Reward = 114; Floor=3
Episode 171: Seed=848962; Reward = 103; Floor=3
Episode 172: Seed=70335; Reward = 20; Floor=1
Episode 173: Seed=527802; Reward = 106; Floor=4
Episode 174: Seed=527701; Reward = 92; Floor=3
Episode 175: Seed=155981; Reward = -3; Floor=1
Episode 176: Seed=816814; Reward = -24; Floor=1
Episode 177: Seed=728468; Reward = 35; Floor=2
Episode 178: Seed=299690; Reward = -10; Floor=2
Episode 179: Seed=100845; Reward = 90; Floor=3
Episode 180: Seed=585514; Reward = 106; Floor=3
Episode 181: Seed=76164; Reward = 133; Floor=4
Episode 182: Seed=501433; Reward = 28; Floor=1
Episode 183: Seed=724235; Reward = 46; Floor=3
Episode 184: Seed=226363; Reward = 48; Floor=3
Episode 185: Seed=6304; Reward = -6; Floor=2
Episode 186: Seed=350814; Reward = 197; Floor=5
Episode 187: Seed=859502; Reward = 114; Floor=3
Episode 188: Seed=640749; Reward = 196; Floor=4
Episode 189: Seed=860873; Reward = 115; Floor=3
Episode 190: Seed=561466; Reward = 24; Floor=1
Episode 191: Seed=833519; Reward = 336; Floor=8
Episode 192: Seed=785871; Reward = 45; Floor=2
Episode 193: Seed=473897; Reward = 397; Floor=9
Episode 194: Seed=55184; Reward = 575; Floor=14
Episode 195: Seed=331473; Reward = 235; Floor=6
Episode 196: Seed=962106; Reward = 208; Floor=6
Episode 197: Seed=679258; Reward = 329; Floor=7
Episode 198: Seed=149814; Reward = 323; Floor=7
Episode 199: Seed=904071; Reward = 144; Floor=4
Episode 200: Seed=933990; Reward = 398; Floor=9
Episode 201: Seed=964755; Reward = 286; Floor=7
Episode 202: Seed=778686; Reward = 29; Floor=1
Episode 203: Seed=549770; Reward = 505; Floor=12
Episode 204: Seed=704285; Reward = 363; Floor=8
Episode 205: Seed=541940; Reward = 109; Floor=3
Episode 206: Seed=629957; Reward = 118; Floor=3
Episode 207: Seed=968850; Reward = 95; Floor=3
Episode 208: Seed=436762; Reward = 482; Floor=10
Episode 209: Seed=504366; Reward = 150; Floor=4
Episode 210: Seed=794059; Reward = 263; Floor=6
Episode 211: Seed=933872; Reward = 106; Floor=3
Episode 212: Seed=352989; Reward = 159; Floor=4
Episode 213: Seed=600787; Reward = 102; Floor=3
Episode 214: Seed=723786; Reward = 162; Floor=4
Episode 215: Seed=180539; Reward = 311; Floor=7
Episode 216: Seed=560051; Reward = 131; Floor=3
Episode 217: Seed=774120; Reward = 96; Floor=3
Episode 218: Seed=535458; Reward = 301; Floor=7
Episode 219: Seed=416666; Reward = 36; Floor=1
Episode 220: Seed=893765; Reward = 393; Floor=9
Episode 221: Seed=544810; Reward = 308; Floor=7
Episode 222: Seed=717652; Reward = 215; Floor=5
Episode 223: Seed=398981; Reward = 30; Floor=1
