Episode 1: Seed=227779; Reward = -38
Episode 2: Seed=531072; Reward = -107
Episode 3: Seed=97682; Reward = -49
Episode 4: Seed=636898; Reward = -100
Episode 5: Seed=47857; Reward = -130
Episode 6: Seed=44161; Reward = -64
Episode 7: Seed=997445; Reward = 8
Episode 8: Seed=5796; Reward = 1
Episode 9: Seed=635814; Reward = -4
Episode 10: Seed=130508; Reward = 10
Episode 11: Seed=181819; Reward = 10
Episode 12: Seed=37454; Reward = 9
Episode 13: Seed=714635; Reward = 10
Episode 14: Seed=511711; Reward = 10
Episode 15: Seed=184152; Reward = 10
Episode 16: Seed=85462; Reward = 10
Episode 17: Seed=776389; Reward = 10
Episode 18: Seed=108646; Reward = 10
Episode 19: Seed=305821; Reward = 10
Episode 20: Seed=788511; Reward = 10
Episode 21: Seed=61846; Reward = 10
Episode 22: Seed=337979; Reward = 10
Episode 23: Seed=533100; Reward = 10
Episode 24: Seed=826055; Reward = 10
Episode 25: Seed=319361; Reward = 10
Episode 26: Seed=238976; Reward = 10
Episode 27: Seed=85707; Reward = 9
Episode 28: Seed=962302; Reward = 10
Episode 29: Seed=692208; Reward = 10
Episode 30: Seed=326115; Reward = -110
Episode 31: Seed=515499; Reward = -10
Episode 32: Seed=178834; Reward = 10
Episode 33: Seed=554194; Reward = 2
Episode 34: Seed=745247; Reward = 10
Episode 35: Seed=56338; Reward = 10
Episode 36: Seed=893049; Reward = 10
Episode 37: Seed=951336; Reward = 10
Episode 38: Seed=369366; Reward = 10
Episode 39: Seed=567410; Reward = 10
Episode 40: Seed=795176; Reward = -108
Episode 41: Seed=992869; Reward = 0
Episode 42: Seed=947545; Reward = -50
Episode 43: Seed=771606; Reward = 5
Episode 44: Seed=156294; Reward = 10
Episode 45: Seed=930926; Reward = 10
Episode 46: Seed=3026; Reward = 10
Episode 47: Seed=273062; Reward = 10
Episode 48: Seed=241349; Reward = 9
Episode 49: Seed=745577; Reward = 9
Episode 50: Seed=908661; Reward = 10
Episode 51: Seed=652395; Reward = 10
Episode 52: Seed=216733; Reward = 10
Episode 53: Seed=708451; Reward = 10
Episode 54: Seed=293808; Reward = -44
Episode 55: Seed=891916; Reward = 1
Episode 56: Seed=420309; Reward = 10
Episode 57: Seed=717504; Reward = -6
Episode 58: Seed=883954; Reward = -7
Episode 59: Seed=863452; Reward = 10
Episode 60: Seed=11055; Reward = 10
Episode 61: Seed=906269; Reward = 10
Episode 62: Seed=513498; Reward = -100
Episode 63: Seed=700070; Reward = 10
Episode 64: Seed=978070; Reward = 9
Episode 65: Seed=671390; Reward = 9
Episode 66: Seed=160307; Reward = 9
Episode 67: Seed=909828; Reward = 10
Episode 68: Seed=384561; Reward = 10
Episode 69: Seed=213029; Reward = -12
Episode 70: Seed=604881; Reward = 5
Episode 71: Seed=948054; Reward = -3
Episode 72: Seed=723619; Reward = 8
Episode 73: Seed=765422; Reward = 10
Episode 74: Seed=259669; Reward = 9
Episode 75: Seed=52944; Reward = 9
Episode 76: Seed=657616; Reward = 9
Episode 77: Seed=508612; Reward = 10
Episode 78: Seed=631419; Reward = 10
Episode 79: Seed=835837; Reward = 10
Episode 80: Seed=664214; Reward = -12
Episode 81: Seed=443237; Reward = 4
Episode 82: Seed=90906; Reward = 7
Episode 83: Seed=123681; Reward = 10
Episode 84: Seed=334240; Reward = -51
Episode 85: Seed=162117; Reward = 10
Episode 86: Seed=523840; Reward = 1
Episode 87: Seed=228833; Reward = 5
Episode 88: Seed=610951; Reward = 10
Episode 89: Seed=445989; Reward = 10
Episode 90: Seed=473885; Reward = -37
Episode 91: Seed=144176; Reward = 10
Episode 92: Seed=215072; Reward = 10
Episode 93: Seed=838814; Reward = 10
Episode 94: Seed=180557; Reward = 10
Episode 95: Seed=505521; Reward = 10
Episode 96: Seed=468109; Reward = 10
Episode 97: Seed=822284; Reward = 10
Episode 98: Seed=23654; Reward = 3
Episode 99: Seed=712198; Reward = 10
Episode 100: Seed=757183; Reward = 10
Episode 101: Seed=48963; Reward = 2
Episode 102: Seed=906097; Reward = 10
Episode 103: Seed=246193; Reward = -3
Episode 104: Seed=291610; Reward = 10
Episode 105: Seed=19872; Reward = 10
Episode 106: Seed=640628; Reward = 10
Episode 107: Seed=396380; Reward = 8
Episode 108: Seed=458123; Reward = 10
Episode 109: Seed=331505; Reward = 10
Episode 110: Seed=581237; Reward = -10
Episode 111: Seed=971998; Reward = 10
Episode 112: Seed=919037; Reward = 10
Episode 113: Seed=543582; Reward = 10
Episode 114: Seed=792077; Reward = 10
Episode 115: Seed=138389; Reward = 5
Episode 116: Seed=56971; Reward = -38
Episode 117: Seed=212698; Reward = -19
Episode 118: Seed=229599; Reward = -5
Episode 119: Seed=10887; Reward = 10
Episode 120: Seed=221318; Reward = 10
Episode 121: Seed=655338; Reward = 4
Episode 122: Seed=821070; Reward = -116
Episode 123: Seed=44894; Reward = -130
Episode 124: Seed=367558; Reward = -36
Episode 125: Seed=789755; Reward = -52
Episode 126: Seed=775417; Reward = 10
Episode 127: Seed=44773; Reward = 4
Episode 128: Seed=748985; Reward = 5
Episode 129: Seed=24995; Reward = 10
Episode 130: Seed=376269; Reward = 7
Episode 131: Seed=144568; Reward = 9
Episode 132: Seed=429304; Reward = 10
Episode 133: Seed=987387; Reward = 10
Episode 134: Seed=150557; Reward = 7
Episode 135: Seed=566968; Reward = 10
Episode 136: Seed=188961; Reward = 10
Episode 137: Seed=222600; Reward = 10
Episode 138: Seed=879363; Reward = 7
Episode 139: Seed=351535; Reward = -33
Episode 140: Seed=364062; Reward = -33
Episode 141: Seed=747567; Reward = 9
Episode 142: Seed=452798; Reward = 10
Episode 143: Seed=190693; Reward = 4
Episode 144: Seed=844939; Reward = -36
Episode 145: Seed=151320; Reward = 6
Episode 146: Seed=243589; Reward = -18
Episode 147: Seed=487449; Reward = -19
Episode 148: Seed=330766; Reward = 7
Episode 149: Seed=299353; Reward = 9
Episode 150: Seed=772122; Reward = -1
Episode 151: Seed=909447; Reward = -53
Episode 152: Seed=853729; Reward = -75
Episode 153: Seed=928706; Reward = 6
Episode 154: Seed=825049; Reward = 10
Episode 155: Seed=700441; Reward = 10
Episode 156: Seed=475270; Reward = 10
Episode 157: Seed=490135; Reward = -6
Episode 158: Seed=501600; Reward = 5
Episode 159: Seed=284733; Reward = -52
Episode 160: Seed=17180; Reward = -57
Episode 161: Seed=861589; Reward = 9
Episode 162: Seed=603638; Reward = 10
Episode 163: Seed=80735; Reward = 10
Episode 164: Seed=908693; Reward = 10
Episode 165: Seed=333307; Reward = 9
Episode 166: Seed=757744; Reward = 10
Episode 167: Seed=719300; Reward = 10
Episode 168: Seed=568253; Reward = 10
Episode 169: Seed=902329; Reward = 10
Episode 170: Seed=40774; Reward = 10
Episode 171: Seed=262034; Reward = 10
Episode 172: Seed=806140; Reward = 10
Episode 173: Seed=719009; Reward = -13
Episode 174: Seed=510608; Reward = 10
Episode 175: Seed=40423; Reward = 10
Episode 176: Seed=241926; Reward = 10
Episode 177: Seed=958132; Reward = 4
Episode 178: Seed=77664; Reward = -1
Episode 179: Seed=100423; Reward = 10
