Episode 124: Seed=422740; Reward = 25; Floor=2
Episode 125: Seed=669933; Reward = 275; Floor=7
Episode 126: Seed=53778; Reward = 65; Floor=3
Episode 127: Seed=247045; Reward = 170; Floor=6
Episode 128: Seed=704689; Reward = 335; Floor=9
Episode 129: Seed=630319; Reward = 281; Floor=8
Episode 130: Seed=835142; Reward = 35; Floor=2
Episode 131: Seed=562150; Reward = -4; Floor=1
Episode 132: Seed=894121; Reward = 174; Floor=6
Episode 133: Seed=921320; Reward = 133; Floor=4
Episode 134: Seed=71640; Reward = 550; Floor=13
Episode 135: Seed=956804; Reward = 364; Floor=10
Episode 136: Seed=536639; Reward = 27; Floor=2
Episode 137: Seed=810851; Reward = 285; Floor=7
Episode 138: Seed=837202; Reward = 270; Floor=8
Episode 139: Seed=469831; Reward = 305; Floor=8
Episode 140: Seed=809956; Reward = 327; Floor=8
Episode 141: Seed=431661; Reward = -4; Floor=2
Episode 142: Seed=889962; Reward = 235; Floor=6
Episode 143: Seed=93426; Reward = 215; Floor=6
Episode 144: Seed=476905; Reward = 223; Floor=6
Episode 145: Seed=319299; Reward = 514; Floor=14
Episode 146: Seed=295246; Reward = 267; Floor=6
Episode 147: Seed=714242; Reward = 190; Floor=5
Episode 148: Seed=917042; Reward = 178; Floor=5
Episode 149: Seed=611618; Reward = 369; Floor=9
Episode 150: Seed=86691; Reward = 191; Floor=6
Episode 151: Seed=257979; Reward = 346; Floor=8
Episode 152: Seed=777994; Reward = 18; Floor=2
Episode 153: Seed=531204; Reward = 55; Floor=2
Episode 154: Seed=66149; Reward = 214; Floor=6
Episode 155: Seed=161058; Reward = 452; Floor=11
Episode 156: Seed=730386; Reward = 149; Floor=4
Episode 157: Seed=553886; Reward = 200; Floor=5
Episode 158: Seed=87220; Reward = 623; Floor=16
Episode 159: Seed=393931; Reward = 306; Floor=8
Episode 160: Seed=621571; Reward = 295; Floor=8
Episode 161: Seed=9533; Reward = 296; Floor=9
Episode 162: Seed=502891; Reward = 110; Floor=3
Episode 163: Seed=703139; Reward = 28; Floor=3
Episode 164: Seed=893721; Reward = 466; Floor=11
