Episode 1: Seed=390700; Reward = -42; Floor=1
Episode 2: Seed=165983; Reward = -25; Floor=2
Episode 3: Seed=582866; Reward = 11; Floor=3
Episode 4: Seed=506582; Reward = 297; Floor=9
Episode 5: Seed=26085; Reward = 7; Floor=1
Episode 6: Seed=225499; Reward = 214; Floor=6
Episode 7: Seed=88362; Reward = 166; Floor=5
Episode 8: Seed=907968; Reward = 138; Floor=4
Episode 9: Seed=45545; Reward = 62; Floor=2
Episode 10: Seed=33979; Reward = 13; Floor=1
Episode 11: Seed=603889; Reward = 251; Floor=7
Episode 12: Seed=523011; Reward = 194; Floor=5
Episode 13: Seed=414156; Reward = 164; Floor=5
Episode 14: Seed=201241; Reward = 373; Floor=9
Episode 15: Seed=601929; Reward = 223; Floor=6
Episode 16: Seed=459098; Reward = 111; Floor=3
Episode 17: Seed=728008; Reward = 74; Floor=3
Episode 18: Seed=964130; Reward = 217; Floor=6
Episode 19: Seed=133400; Reward = 116; Floor=3
Episode 20: Seed=442158; Reward = 186; Floor=5
Episode 21: Seed=344906; Reward = 268; Floor=8
Episode 22: Seed=335018; Reward = -51; Floor=2
Episode 23: Seed=90048; Reward = 199; Floor=5
Episode 24: Seed=65653; Reward = 180; Floor=5
Episode 25: Seed=438256; Reward = 34; Floor=3
Episode 26: Seed=959080; Reward = 189; Floor=5
Episode 27: Seed=138952; Reward = 183; Floor=5
Episode 28: Seed=898442; Reward = 98; Floor=3
Episode 29: Seed=38576; Reward = 277; Floor=8
Episode 30: Seed=346512; Reward = 191; Floor=6
Episode 31: Seed=30040; Reward = 250; Floor=7
Episode 32: Seed=38427; Reward = 100; Floor=3
Episode 33: Seed=489769; Reward = 41; Floor=2
Episode 34: Seed=653122; Reward = 58; Floor=2
Episode 35: Seed=170194; Reward = 158; Floor=6
Episode 36: Seed=753925; Reward = 341; Floor=12
Episode 37: Seed=74301; Reward = 17; Floor=1
Episode 38: Seed=583466; Reward = 107; Floor=6
Episode 39: Seed=820943; Reward = 202; Floor=7
Episode 40: Seed=727350; Reward = 127; Floor=4
Episode 41: Seed=227358; Reward = 228; Floor=9
Episode 42: Seed=920802; Reward = 292; Floor=8
Episode 43: Seed=198224; Reward = 433; Floor=11
Episode 44: Seed=597624; Reward = -232; Floor=3
Episode 45: Seed=715358; Reward = 43; Floor=2
Episode 46: Seed=922484; Reward = 105; Floor=4
Episode 47: Seed=822656; Reward = 96; Floor=3
Episode 48: Seed=820703; Reward = 366; Floor=10
Episode 49: Seed=121681; Reward = 300; Floor=8
Episode 50: Seed=523237; Reward = 295; Floor=8
Episode 51: Seed=315468; Reward = 222; Floor=6
Episode 52: Seed=275610; Reward = 198; Floor=6
Episode 53: Seed=604997; Reward = 5; Floor=3
Episode 54: Seed=353303; Reward = 155; Floor=4
Episode 55: Seed=393301; Reward = 220; Floor=6
Episode 56: Seed=386492; Reward = 191; Floor=5
Episode 57: Seed=798094; Reward = 308; Floor=9
Episode 58: Seed=468954; Reward = 360; Floor=11
Episode 59: Seed=16064; Reward = 121; Floor=4
Episode 60: Seed=439864; Reward = -15; Floor=3
Episode 61: Seed=230702; Reward = 202; Floor=6
Episode 62: Seed=544579; Reward = -237; Floor=3
Episode 63: Seed=785604; Reward = -29; Floor=5
Episode 64: Seed=914172; Reward = 88; Floor=3
Episode 65: Seed=637809; Reward = 227; Floor=8
Episode 66: Seed=508670; Reward = -317; Floor=2
Episode 67: Seed=254099; Reward = 245; Floor=8
Episode 68: Seed=793962; Reward = 320; Floor=8
Episode 69: Seed=133106; Reward = 165; Floor=4
Episode 70: Seed=451017; Reward = 167; Floor=5
Episode 71: Seed=838708; Reward = 122; Floor=4
Episode 72: Seed=776114; Reward = 178; Floor=5
Episode 73: Seed=7234; Reward = 133; Floor=4
Episode 74: Seed=39363; Reward = 166; Floor=5
Episode 75: Seed=991516; Reward = 338; Floor=9
Episode 76: Seed=29640; Reward = 386; Floor=9
Episode 77: Seed=309772; Reward = 391; Floor=10
Episode 78: Seed=386065; Reward = 150; Floor=4
Episode 79: Seed=869283; Reward = 124; Floor=4
Episode 80: Seed=660337; Reward = 261; Floor=7
Episode 81: Seed=832989; Reward = 115; Floor=4
Episode 82: Seed=412734; Reward = 74; Floor=3
Episode 83: Seed=269082; Reward = 299; Floor=8
Episode 84: Seed=802943; Reward = 146; Floor=5
