Episode 161: Seed=948841; Reward = -8
Episode 162: Seed=198995; Reward = 29
Episode 163: Seed=625184; Reward = 9
Episode 164: Seed=743975; Reward = 9
Episode 165: Seed=287804; Reward = -45
Episode 166: Seed=316917; Reward = 0
Episode 167: Seed=766111; Reward = 19
Episode 168: Seed=103972; Reward = 13
Episode 169: Seed=954643; Reward = 29
Episode 170: Seed=647840; Reward = 20
Episode 171: Seed=569109; Reward = 20
Episode 172: Seed=507073; Reward = -101
Episode 173: Seed=326633; Reward = -34
Episode 174: Seed=25219; Reward = -5
Episode 175: Seed=690477; Reward = 21
Episode 176: Seed=964684; Reward = 16
Episode 177: Seed=38818; Reward = 20
Episode 178: Seed=658394; Reward = 0
Episode 179: Seed=962097; Reward = -4
Episode 180: Seed=78237; Reward = -12
Episode 181: Seed=620441; Reward = 56
Episode 182: Seed=315009; Reward = 10
Episode 183: Seed=570916; Reward = -3
Episode 184: Seed=86915; Reward = -8
Episode 185: Seed=817305; Reward = 0
Episode 186: Seed=26766; Reward = -33
Episode 187: Seed=211046; Reward = 0
Episode 188: Seed=342120; Reward = 0
Episode 189: Seed=288405; Reward = -10
Episode 190: Seed=809685; Reward = -15
Episode 191: Seed=156420; Reward = -15
Episode 192: Seed=728236; Reward = 6
Episode 193: Seed=733281; Reward = -1
Episode 194: Seed=406024; Reward = 0
Episode 195: Seed=400474; Reward = 9
Episode 196: Seed=929128; Reward = -25
Episode 197: Seed=749109; Reward = 5
Episode 198: Seed=151021; Reward = -155
Episode 199: Seed=47757; Reward = -3
Episode 200: Seed=678691; Reward = -3
Episode 201: Seed=756466; Reward = -81
Episode 202: Seed=864692; Reward = 6
Episode 203: Seed=818970; Reward = 0
Episode 204: Seed=336968; Reward = 9
Episode 205: Seed=954876; Reward = 0
Episode 206: Seed=735792; Reward = 8
Episode 207: Seed=275529; Reward = 10
Episode 208: Seed=828742; Reward = 0
Episode 209: Seed=55753; Reward = -37
Episode 210: Seed=900732; Reward = 18
Episode 211: Seed=691014; Reward = 14
Episode 212: Seed=604854; Reward = 0
Episode 213: Seed=19635; Reward = 9
Episode 214: Seed=366393; Reward = 18
Episode 215: Seed=185091; Reward = 0
Episode 216: Seed=906040; Reward = 0
Episode 217: Seed=819700; Reward = 13
Episode 218: Seed=624154; Reward = 20
Episode 219: Seed=946278; Reward = -1
Episode 220: Seed=186947; Reward = -1
Episode 221: Seed=621235; Reward = 10
Episode 222: Seed=145592; Reward = 20
Episode 223: Seed=859954; Reward = 7
Episode 224: Seed=145339; Reward = -9
Episode 225: Seed=196677; Reward = 42
Episode 226: Seed=94785; Reward = 31
Episode 227: Seed=797151; Reward = -25
Episode 228: Seed=831867; Reward = 7
Episode 229: Seed=837868; Reward = -59
Episode 230: Seed=572026; Reward = -15
Episode 231: Seed=151401; Reward = 7
Episode 232: Seed=693006; Reward = 0
Episode 233: Seed=200369; Reward = -6
Episode 234: Seed=821462; Reward = 6
Episode 235: Seed=891877; Reward = 6
Episode 236: Seed=964318; Reward = 4
Episode 237: Seed=360635; Reward = -9
Episode 238: Seed=940606; Reward = 0
Episode 239: Seed=508132; Reward = 33
Episode 240: Seed=909637; Reward = 10
Episode 241: Seed=703424; Reward = 28
Episode 242: Seed=726607; Reward = 18
Episode 243: Seed=142178; Reward = 30
Episode 244: Seed=456373; Reward = 19
Episode 245: Seed=62930; Reward = 46
Episode 246: Seed=721859; Reward = 30
Episode 247: Seed=72241; Reward = 27
Episode 248: Seed=74292; Reward = 22
Episode 249: Seed=607217; Reward = 43
Episode 250: Seed=536395; Reward = 0
Episode 251: Seed=707720; Reward = 23
Episode 252: Seed=801026; Reward = -2
Episode 253: Seed=735942; Reward = 15
Episode 254: Seed=114293; Reward = 23
Episode 255: Seed=353081; Reward = 0
Episode 256: Seed=458958; Reward = -48
Episode 257: Seed=60075; Reward = -79
Episode 258: Seed=625744; Reward = 10
Episode 259: Seed=670888; Reward = 18
Episode 260: Seed=815203; Reward = -209
Episode 261: Seed=769353; Reward = -38
Episode 262: Seed=978033; Reward = -8
Episode 263: Seed=749612; Reward = -1
Episode 264: Seed=872499; Reward = -37
Episode 265: Seed=435839; Reward = 23
Episode 266: Seed=821419; Reward = 10
Episode 267: Seed=252824; Reward = 16
Episode 268: Seed=56362; Reward = 5
Episode 269: Seed=728425; Reward = -2
Episode 270: Seed=584275; Reward = 14
Episode 271: Seed=841182; Reward = 0
Episode 272: Seed=231001; Reward = -52
Episode 273: Seed=774650; Reward = 14
Episode 274: Seed=394951; Reward = 0
Episode 275: Seed=426912; Reward = 53
Episode 276: Seed=644311; Reward = -21
Episode 277: Seed=830892; Reward = 22
Episode 278: Seed=127596; Reward = 9
Episode 279: Seed=883050; Reward = 1
Episode 280: Seed=364759; Reward = 28
Episode 281: Seed=374924; Reward = -2
Episode 282: Seed=988977; Reward = 9
Episode 283: Seed=708907; Reward = 20
Episode 284: Seed=846024; Reward = 10
Episode 285: Seed=809228; Reward = 9
Episode 286: Seed=360822; Reward = 10
Episode 287: Seed=520678; Reward = 20
Episode 288: Seed=205852; Reward = 30
Episode 289: Seed=774585; Reward = 16
Episode 290: Seed=289441; Reward = 29
Episode 291: Seed=635061; Reward = 8
Episode 292: Seed=676472; Reward = 19
Episode 293: Seed=751895; Reward = -55
Episode 294: Seed=168543; Reward = -157
Episode 295: Seed=478322; Reward = -235
Episode 296: Seed=98811; Reward = 5
Episode 297: Seed=490834; Reward = 0
Episode 298: Seed=476849; Reward = -51
Episode 299: Seed=660186; Reward = -12
Episode 300: Seed=873254; Reward = -12
Episode 301: Seed=284908; Reward = 7
Episode 302: Seed=788818; Reward = -7
Episode 303: Seed=64458; Reward = -7
Episode 304: Seed=577780; Reward = 20
Episode 305: Seed=785643; Reward = -14
Episode 306: Seed=71455; Reward = -8
Episode 307: Seed=306440; Reward = 9
Episode 308: Seed=603393; Reward = 11
Episode 309: Seed=928367; Reward = 30
Episode 310: Seed=166188; Reward = 7
Episode 311: Seed=876323; Reward = 19
Episode 312: Seed=411175; Reward = 56
Episode 313: Seed=946615; Reward = -182
Episode 314: Seed=890462; Reward = 10
Episode 315: Seed=683230; Reward = 116
Episode 316: Seed=140837; Reward = 10
Episode 317: Seed=492481; Reward = 23
Episode 318: Seed=935586; Reward = -7
Episode 319: Seed=302877; Reward = 19
Episode 320: Seed=454043; Reward = 33
Episode 321: Seed=713267; Reward = 7
Episode 322: Seed=557473; Reward = 0
Episode 323: Seed=393513; Reward = 15
Episode 324: Seed=896666; Reward = 9
Episode 325: Seed=416434; Reward = -14
Episode 326: Seed=188454; Reward = 8
Episode 327: Seed=327717; Reward = 26
Episode 328: Seed=971525; Reward = -9
Episode 329: Seed=723085; Reward = 15
Episode 330: Seed=832365; Reward = 10
Episode 331: Seed=273461; Reward = -34
Episode 332: Seed=537264; Reward = -9
Episode 333: Seed=943450; Reward = -4
Episode 334: Seed=432017; Reward = 0
Episode 335: Seed=747720; Reward = 19
Episode 336: Seed=108332; Reward = 10
Episode 337: Seed=169011; Reward = 0
Episode 338: Seed=279340; Reward = -14
Episode 339: Seed=942049; Reward = 0
Episode 340: Seed=285038; Reward = -32
Episode 341: Seed=73125; Reward = -1
Episode 342: Seed=428783; Reward = -33
Episode 343: Seed=116256; Reward = -17
Episode 344: Seed=87773; Reward = 29
Episode 345: Seed=988970; Reward = -8
Episode 346: Seed=633662; Reward = 10
Episode 347: Seed=191539; Reward = 29
Episode 348: Seed=513736; Reward = 18
Episode 349: Seed=802344; Reward = 27
Episode 350: Seed=437420; Reward = -17
Episode 351: Seed=750279; Reward = 28
Episode 352: Seed=296894; Reward = 10
Episode 353: Seed=554836; Reward = 0
Episode 354: Seed=897007; Reward = 28
Episode 355: Seed=319521; Reward = -2
Episode 356: Seed=491138; Reward = 26
Episode 357: Seed=466; Reward = -12
Episode 358: Seed=539737; Reward = 4
Episode 359: Seed=612552; Reward = -8
Episode 360: Seed=334433; Reward = 7
Episode 361: Seed=454613; Reward = 14
Episode 362: Seed=238606; Reward = 16
Episode 363: Seed=372136; Reward = 0
Episode 364: Seed=991093; Reward = 0
Episode 365: Seed=597603; Reward = 13
Episode 366: Seed=264319; Reward = -7
Episode 367: Seed=439484; Reward = -4
Episode 368: Seed=101300; Reward = 7
Episode 369: Seed=16555; Reward = 9
Episode 370: Seed=101999; Reward = 0
Episode 371: Seed=855343; Reward = 19
Episode 372: Seed=332072; Reward = 18
Episode 373: Seed=411897; Reward = 10
Episode 374: Seed=292283; Reward = 0
Episode 375: Seed=424424; Reward = -12
Episode 376: Seed=689602; Reward = 19
Episode 377: Seed=443617; Reward = 1
Episode 378: Seed=770161; Reward = 9
Episode 379: Seed=103698; Reward = 20
Episode 380: Seed=135484; Reward = 30
Episode 381: Seed=13359; Reward = -1
Episode 382: Seed=202973; Reward = 29
Episode 383: Seed=935128; Reward = 10
Episode 384: Seed=46918; Reward = -32
Episode 385: Seed=64700; Reward = 19
Episode 386: Seed=853551; Reward = 54
Episode 387: Seed=951564; Reward = -29
Episode 388: Seed=869368; Reward = 17
Episode 389: Seed=296401; Reward = 24
Episode 390: Seed=601213; Reward = 10
Episode 391: Seed=282621; Reward = 20
Episode 392: Seed=863226; Reward = 20
Episode 393: Seed=438684; Reward = 30
Episode 394: Seed=497163; Reward = 10
Episode 395: Seed=348188; Reward = 20
Episode 396: Seed=936454; Reward = 15
Episode 397: Seed=761541; Reward = 26
Episode 398: Seed=320217; Reward = 19
Episode 399: Seed=307514; Reward = 10
Episode 400: Seed=872754; Reward = 40
Episode 401: Seed=408801; Reward = 20
Episode 402: Seed=703612; Reward = 27
Episode 403: Seed=601172; Reward = 9
Episode 404: Seed=844060; Reward = 0
Episode 405: Seed=560566; Reward = 20
Episode 406: Seed=685580; Reward = 10
Episode 407: Seed=978440; Reward = 47
Episode 408: Seed=28761; Reward = 30
Episode 409: Seed=550331; Reward = 29
Episode 410: Seed=999767; Reward = 39
Episode 411: Seed=918843; Reward = 20
Episode 412: Seed=211133; Reward = 0
Episode 413: Seed=47361; Reward = -16
Episode 414: Seed=830775; Reward = 27
Episode 415: Seed=942178; Reward = 9
Episode 416: Seed=822939; Reward = 37
Episode 417: Seed=358144; Reward = 39
Episode 418: Seed=38940; Reward = 10
Episode 419: Seed=682284; Reward = 0
Episode 420: Seed=746572; Reward = 20
Episode 421: Seed=51071; Reward = 10
Episode 422: Seed=243242; Reward = 18
Episode 423: Seed=918112; Reward = 0
Episode 424: Seed=45790; Reward = 7
Episode 425: Seed=718022; Reward = -25
Episode 426: Seed=682025; Reward = 23
Episode 427: Seed=150754; Reward = -63
Episode 428: Seed=931579; Reward = 2
Episode 429: Seed=291472; Reward = 14
Episode 430: Seed=907332; Reward = -3
Episode 431: Seed=520798; Reward = 21
Episode 432: Seed=596492; Reward = -20
Episode 433: Seed=606179; Reward = -13
Episode 434: Seed=189214; Reward = 17
Episode 435: Seed=461068; Reward = 5
Episode 436: Seed=422233; Reward = 7
Episode 437: Seed=871141; Reward = 16
Episode 438: Seed=29663; Reward = 14
Episode 439: Seed=498256; Reward = 19
