Episode 1: Seed=132784; Reward = -41; Floor=1
Episode 2: Seed=789833; Reward = -49; Floor=1
Episode 3: Seed=782035; Reward = -42; Floor=1
Episode 4: Seed=1941; Reward = -56; Floor=1
Episode 5: Seed=807646; Reward = -7; Floor=1
Episode 6: Seed=638044; Reward = -62; Floor=1
Episode 7: Seed=207326; Reward = -88; Floor=1
Episode 8: Seed=720076; Reward = -60; Floor=1
Episode 9: Seed=840868; Reward = -39; Floor=1
Episode 10: Seed=943693; Reward = -75; Floor=3
Episode 11: Seed=98561; Reward = -109; Floor=2
Episode 12: Seed=950818; Reward = -34; Floor=2
Episode 13: Seed=314180; Reward = -66; Floor=2
Episode 14: Seed=99126; Reward = -56; Floor=1
Episode 15: Seed=579631; Reward = -39; Floor=1
Episode 16: Seed=404747; Reward = -72; Floor=1
Episode 17: Seed=566447; Reward = -39; Floor=1
Episode 18: Seed=960434; Reward = -46; Floor=1
Episode 19: Seed=685422; Reward = -58; Floor=1
Episode 20: Seed=584235; Reward = -54; Floor=1
Episode 21: Seed=337949; Reward = -61; Floor=1
Episode 22: Seed=595452; Reward = -28; Floor=2
Episode 23: Seed=466173; Reward = -37; Floor=3
Episode 24: Seed=48965; Reward = -58; Floor=1
Episode 25: Seed=732967; Reward = -54; Floor=1
Episode 26: Seed=913334; Reward = -38; Floor=1
Episode 27: Seed=373366; Reward = -42; Floor=1
Episode 28: Seed=145271; Reward = -75; Floor=1
Episode 29: Seed=374454; Reward = -43; Floor=1
Episode 30: Seed=648867; Reward = -41; Floor=1
Episode 31: Seed=359934; Reward = -17; Floor=2
Episode 32: Seed=812691; Reward = -46; Floor=1
Episode 33: Seed=213954; Reward = -152; Floor=1
Episode 34: Seed=188053; Reward = -40; Floor=2
Episode 35: Seed=500010; Reward = -2; Floor=2
Episode 36: Seed=52106; Reward = -123; Floor=1
Episode 37: Seed=617553; Reward = -101; Floor=1
Episode 38: Seed=237851; Reward = -38; Floor=1
Episode 39: Seed=727489; Reward = -21; Floor=2
Episode 40: Seed=319488; Reward = -21; Floor=1
Episode 41: Seed=51826; Reward = -18; Floor=1
Episode 42: Seed=278655; Reward = -64; Floor=1
Episode 43: Seed=548197; Reward = -21; Floor=1
Episode 44: Seed=332542; Reward = 43; Floor=3
Episode 45: Seed=112188; Reward = 5; Floor=2
Episode 46: Seed=158168; Reward = 27; Floor=4
Episode 47: Seed=106634; Reward = -58; Floor=1
Episode 48: Seed=186118; Reward = -39; Floor=1
Episode 49: Seed=377661; Reward = -39; Floor=1
Episode 50: Seed=151366; Reward = -40; Floor=1
Episode 51: Seed=75497; Reward = -41; Floor=1
Episode 52: Seed=324922; Reward = -8; Floor=3
Episode 53: Seed=838985; Reward = -57; Floor=1
Episode 54: Seed=721985; Reward = -70; Floor=1
Episode 55: Seed=551379; Reward = -48; Floor=1
Episode 56: Seed=728160; Reward = -20; Floor=1
Episode 57: Seed=978211; Reward = -104; Floor=1
Episode 58: Seed=639479; Reward = -51; Floor=2
Episode 59: Seed=448012; Reward = -100; Floor=1
Episode 60: Seed=905697; Reward = -34; Floor=1
Episode 61: Seed=896839; Reward = -13; Floor=2
Episode 62: Seed=644660; Reward = -7; Floor=2
Episode 63: Seed=431572; Reward = -22; Floor=1
Episode 64: Seed=807539; Reward = 41; Floor=2
Episode 65: Seed=946562; Reward = -26; Floor=1
Episode 66: Seed=158562; Reward = -74; Floor=1
Episode 67: Seed=588920; Reward = -47; Floor=2
Episode 68: Seed=569830; Reward = -41; Floor=1
Episode 69: Seed=861005; Reward = -139; Floor=1
Episode 70: Seed=586904; Reward = -70; Floor=3
Episode 71: Seed=907137; Reward = -39; Floor=1
Episode 72: Seed=490114; Reward = -77; Floor=1
Episode 73: Seed=183962; Reward = -50; Floor=1
Episode 74: Seed=447788; Reward = -65; Floor=1
Episode 75: Seed=268817; Reward = -42; Floor=1
Episode 76: Seed=416576; Reward = -51; Floor=2
Episode 77: Seed=462880; Reward = -36; Floor=1
Episode 78: Seed=179458; Reward = -27; Floor=1
Episode 79: Seed=182577; Reward = -41; Floor=1
Episode 80: Seed=559415; Reward = -42; Floor=1
Episode 81: Seed=922204; Reward = -45; Floor=2
Episode 82: Seed=381892; Reward = 16; Floor=4
Episode 83: Seed=264399; Reward = -35; Floor=2
Episode 84: Seed=409034; Reward = 31; Floor=4
Episode 85: Seed=20520; Reward = -25; Floor=1
Episode 86: Seed=946823; Reward = -34; Floor=1
Episode 87: Seed=591945; Reward = -51; Floor=1
Episode 88: Seed=67108; Reward = -82; Floor=4
Episode 89: Seed=299944; Reward = -6; Floor=1
Episode 90: Seed=317932; Reward = 3; Floor=4
Episode 91: Seed=146725; Reward = -41; Floor=1
Episode 92: Seed=614476; Reward = -48; Floor=1
Episode 93: Seed=473654; Reward = -41; Floor=1
Episode 94: Seed=48557; Reward = -41; Floor=1
Episode 95: Seed=695354; Reward = -41; Floor=1
Episode 96: Seed=605919; Reward = -78; Floor=1
Episode 97: Seed=935420; Reward = -68; Floor=1
Episode 98: Seed=604179; Reward = -36; Floor=2
Episode 99: Seed=512563; Reward = -38; Floor=2
Episode 100: Seed=572791; Reward = -5; Floor=2
Episode 101: Seed=790503; Reward = 50; Floor=3
Episode 102: Seed=953643; Reward = 4; Floor=1
Episode 103: Seed=187376; Reward = 53; Floor=2
Episode 104: Seed=439457; Reward = -35; Floor=1
Episode 105: Seed=690752; Reward = 81; Floor=4
Episode 106: Seed=890005; Reward = -1; Floor=2
Episode 107: Seed=40200; Reward = 21; Floor=2
Episode 108: Seed=884252; Reward = 3; Floor=2
Episode 109: Seed=540600; Reward = 50; Floor=2
Episode 110: Seed=540253; Reward = -42; Floor=1
Episode 111: Seed=29749; Reward = 51; Floor=2
Episode 112: Seed=602349; Reward = 80; Floor=3
Episode 113: Seed=353547; Reward = 8; Floor=2
Episode 114: Seed=677217; Reward = -35; Floor=1
Episode 115: Seed=667786; Reward = -18; Floor=1
Episode 116: Seed=496932; Reward = 1; Floor=2
Episode 117: Seed=928614; Reward = -29; Floor=1
Episode 118: Seed=980484; Reward = -3; Floor=1
Episode 119: Seed=433133; Reward = 27; Floor=2
Episode 120: Seed=238911; Reward = 28; Floor=2
Episode 121: Seed=160730; Reward = -4; Floor=3
Episode 122: Seed=450155; Reward = 20; Floor=2
Episode 123: Seed=201251; Reward = 147; Floor=5
Episode 124: Seed=715785; Reward = -21; Floor=2
Episode 125: Seed=721786; Reward = -65; Floor=1
Episode 126: Seed=280027; Reward = 58; Floor=4
Episode 127: Seed=516862; Reward = -25; Floor=1
Episode 128: Seed=372170; Reward = 22; Floor=2
Episode 129: Seed=121722; Reward = -75; Floor=2
Episode 130: Seed=811229; Reward = 64; Floor=3
Episode 131: Seed=579373; Reward = -71; Floor=2
Episode 132: Seed=521473; Reward = -3; Floor=3
Episode 133: Seed=40049; Reward = 48; Floor=3
Episode 134: Seed=395894; Reward = 71; Floor=4
Episode 135: Seed=135053; Reward = -20; Floor=1
Episode 136: Seed=124903; Reward = -28; Floor=1
Episode 137: Seed=840583; Reward = 22; Floor=5
Episode 138: Seed=575766; Reward = -56; Floor=1
Episode 139: Seed=689660; Reward = -44; Floor=1
Episode 140: Seed=431355; Reward = -39; Floor=1
Episode 141: Seed=176812; Reward = -56; Floor=1
Episode 142: Seed=731056; Reward = -38; Floor=1
Episode 143: Seed=907918; Reward = -40; Floor=1
Episode 144: Seed=306892; Reward = -33; Floor=1
