Episode 1: Seed=866501; Reward = -534; Floor=2
Episode 2: Seed=250589; Reward = -2; Floor=1
Episode 3: Seed=791476; Reward = -71; Floor=4
Episode 4: Seed=648738; Reward = 162; Floor=5
Episode 5: Seed=946058; Reward = 99; Floor=5
Episode 6: Seed=307413; Reward = 164; Floor=4
Episode 7: Seed=112815; Reward = 129; Floor=4
Episode 8: Seed=354426; Reward = 57; Floor=2
Episode 9: Seed=548803; Reward = 273; Floor=7
Episode 10: Seed=687336; Reward = 284; Floor=7
Episode 11: Seed=209999; Reward = 284; Floor=12
Episode 12: Seed=582622; Reward = 108; Floor=3
Episode 13: Seed=290863; Reward = 509; Floor=12
Episode 14: Seed=473212; Reward = 367; Floor=10
Episode 15: Seed=62015; Reward = 99; Floor=3
Episode 16: Seed=523392; Reward = 301; Floor=8
Episode 17: Seed=252919; Reward = 193; Floor=6
Episode 18: Seed=742074; Reward = -2871; Floor=8
Episode 19: Seed=691165; Reward = 250; Floor=6
Episode 20: Seed=415714; Reward = 60; Floor=5
Episode 21: Seed=752222; Reward = 266; Floor=8
Episode 22: Seed=557562; Reward = 169; Floor=4
Episode 23: Seed=576809; Reward = 90; Floor=3
Episode 24: Seed=118812; Reward = 61; Floor=2
Episode 25: Seed=471634; Reward = 183; Floor=5
Episode 26: Seed=319817; Reward = 194; Floor=6
Episode 27: Seed=870063; Reward = 85; Floor=3
Episode 28: Seed=770228; Reward = 201; Floor=8
Episode 29: Seed=601607; Reward = -974; Floor=2
Episode 30: Seed=952531; Reward = -272; Floor=2
Episode 31: Seed=195718; Reward = 75; Floor=4
Episode 32: Seed=755412; Reward = 93; Floor=10
Episode 33: Seed=519278; Reward = 229; Floor=6
Episode 34: Seed=44444; Reward = 197; Floor=6
Episode 35: Seed=790328; Reward = 371; Floor=9
Episode 36: Seed=528068; Reward = 253; Floor=8
Episode 37: Seed=272338; Reward = 37; Floor=3
Episode 38: Seed=105116; Reward = 88; Floor=3
Episode 39: Seed=223550; Reward = 58; Floor=3
Episode 40: Seed=504627; Reward = 125; Floor=5
Episode 41: Seed=159030; Reward = 40; Floor=2
Episode 42: Seed=504743; Reward = -101; Floor=4
Episode 43: Seed=311441; Reward = 22; Floor=3
